name,party,district,chamber,capitol_voice
Aaron Pilkington,Republican,45,House,479-308-8384
Alan Clark,Republican,7,Senate,
Alyssa Brown,Republican,41,House,
Andrew Collins,Democratic,73,House,
Ashley Hudson,Democratic,75,House,
Austin McCollum,Republican,8,House,
Bart Hester,Republican,33,Senate,
Bart Schulz,Republican,28,House,870-613-1940
Ben Gilmore,Republican,1,Senate,
Blake Johnson,Republican,21,Senate,
Brad Hall,Republican,24,House,479-670-0545
Brandon Achor,Republican,71,House,
Breanne Davis,Republican,25,Senate,
Brian Evans,Republican,68,House,
Brit McKenzie,Republican,7,House,
Bruce Cozart,Republican,91,House,501-627-3232
Bryan King,Republican,28,Senate,501-682-5452
Cameron Cooper,Republican,57,House,501-230-5635
Carlton Wing,Republican,70,House,501-944-9464
Carol Dalby,Republican,100,House,870-772-1255
Chad Puryear,Republican,25,House,
Cindy Crawford,Republican,51,House,
Clarke Tucker,Democratic,14,Senate,501-246-4933
Clint Penzo,Republican,31,Senate,
Dan Sullivan,Republican,20,Senate,
David Ray,Republican,69,House,501-916-0286
Dave Wallace,Republican,19,Senate,
David Whitaker,Democratic,22,House,479-236-8313
DeAnn Vaught,Republican,87,House,870-832-2638
Denise Ennett,Democratic,80,House,501-690-4211
Denise Garner,Democratic,20,House,
Diana Gonzales Worthen,Democratic,9,House,479-872-1977
Dolly Henley,Republican,88,House,
Dwight Tosh,Republican,38,House,870-926-0423
Fran Cavenaugh,Republican,30,House,870-886-4000
Fred Allen,Democratic,77,House,501-804-7844
Fred Love,Democratic,15,Senate,
Gary Stubblefield,Republican,26,Senate,479-635-4314
Glenn Barnes,Democratic,65,House,870-329-7957
Greg Leding,Democratic,30,Senate,
Harlan Breaux,Republican,6,House,479-981-3170
Hope Duke,Republican,12,House,479-787-5628
Howard Beaty,Republican,95,House,870-304-6584
Jack Ladyman,Republican,32,House,870-340-7499
James Eaton,Republican,26,House,
Jamie Scott,Democratic,12,Senate,
Jane English,Republican,13,Senate,501-257-7670
Jason Nazarenko,Republican,4,House,
Jay Richardson,Democratic,49,House,
Jeff Wardlaw,Republican,94,House,870-226-9501
Jeremiah Moore,Republican,61,House,
Jeremy Wooldridge,Republican,1,House,
Jessie McGruder,Democratic,35,House,
Jim Dotson,Republican,34,Senate,
Jim Petty,Republican,29,Senate,
Jim Wooten,Republican,59,House,
Jimmy Gazaway,Republican,31,House,870-215-1243
Jimmy Hickey,Republican,4,Senate,870-772-4444
Joey Carr,Republican,34,House,870-780-4237
John Maddox,Republican,86,House,479-394-6060
John Carr,Republican,15,House,479-619-5104
John Payton,Republican,22,Senate,
Johnny Rye,Republican,36,House,870-919-3690
Jon Milligan,Republican,33,House,870-219-1261
Jon Eubanks,Republican,46,House,
Jonathan Dismang,Republican,18,Senate,
Josh Bryant,Republican,32,Senate,
Joy Springer,Democratic,76,House,501-831-8488
Julie Mayberry,Republican,92,House,501-888-3522
Justin Boyd,Republican,27,Senate,
Justin Gonzales,Republican,89,House,870-245-6365
Karilyn Brown,Republican,67,House,
Keith Brooks,Republican,78,House,501-744-6080
Kendon Underwood,Republican,16,House,
Kendra Moore,Republican,23,House,
Ken Ferguson,Democratic,64,House,
Kim Hammer,Republican,16,Senate,501-840-3841
Lane Jean,Republican,99,House,870-904-1856
Lee Johnson,Republican,47,House,479-883-6393
Les Eaves,Republican,58,House,501-827-1344
Les Warren,Republican,84,House,
Lincoln Barnett,Democratic,63,House,
Marcus Richmond,Republican,52,House,479-299-4416
Mark McElroy,Republican,62,House,870-222-8217
Mark Johnson,Republican,17,Senate,
Mark Perry,Democratic,66,House,
Mary Bentley,Republican,54,House,501-889-3556
Matt Brown,Republican,55,House,501-472-5848
Matt Duffield,Republican,53,House,
Matt McKee,Republican,6,Senate,
Matt Stone,Republican,2,Senate,
Matthew Shepherd,Republican,97,House,870-862-2087
Mike Holcomb,Republican,93,House,870-489-7177
Mindy McAlindon,Republican,10,House,
Missy Irvin,Republican,24,Senate,
Nick Burkes,Republican,14,House,
Nicole Clowney,Democratic,21,House,
Paul Childress,Republican,83,House,501-860-3424
R.J. Hawk,Republican,81,House,
Randy Torres,Republican,17,House,479-549-7560
Rebecca Burkes,Republican,11,House,501-291-2302
Reginald Murdock,Democratic,9,Senate,
Richard McGrew,Republican,85,House,501-623-2481
Richard Womack,Republican,90,House,870-403-6287
Rick Beck,Republican,43,House,501-912-1441
Rick McClure,Republican,29,House,501-786-4186
Ricky Hill,Republican,11,Senate,
Robin Lundstrum,Republican,18,House,
Roger Lynch,Republican,60,House,501-412-8959
Ron McNair,Republican,5,House,870-754-7962
Ron Caldwell,Republican,10,Senate,501-682-6107
Ryan Rose,Republican,48,House,479-285-6383
Scott Flippo,Republican,23,Senate,
Scott Richardson,Republican,13,House,479-308-8260
Shad Pearce,Republican,40,House,870-307-2361
Sonia Barker,Republican,96,House,870-814-7605
Stan Berry,Republican,44,House,
Stephanie FHouses,Democratic,8,Senate,501-682-7664
Steve Magie,Democratic,56,House,
Stephen Meeks,Republican,42,House,501-314-9250
Stetson Painter,Republican,3,House,
Steve Crowell,Republican,3,Senate,
Steve Hollowell,Republican,37,House,
Steve Unger,Republican,19,House,
Steven Walker,Republican,27,House,870-291-0559
Tara Shephard,Democratic,79,House,
Terry Rice,Republican,5,Senate,
Tippi McCullough,Democratic,74,House,
Tony Furman,Republican,82,House,
Tracy Steele,Democratic,72,House,
Trey Steimel,Republican,2,House,870-809-1788
Tyler Dees,Republican,35,Senate,479-549-5057
Wade Andrews,Republican,98,House,
Wayne Long,Republican,39,House,
Zack Gramlich,Republican,50,House,479-831-8072